dispute_id,customer_id_dispute,txn_id,description,txn_type,channel_dispute,amount_dispute,created_at,predicted_category,confidence,explanation,customer_id_txn,amount_txn,status,timestamp,channel_txn,merchant,suggested_action,justification
D011,C011,T011,Got two UPI debit messages for one QR scan,UPI,QR,220,2025-08-02 10:25:18,OTHERS,1.0,Classified by SVM Model based on text patterns.,C011,220,SUCCESS,2025-08-02 10:24:50,QR,UPI@CafeQ,Manual review,Category OTHERS or unclear rules.
D012,C012,T012,"Payment stuck in pending, not sure if merchant got it",UPI,Mobile,430,2025-08-02 11:01:56,FAILED_TRANSACTION,1.0,Classified by SVM Model based on text patterns.,C012,430,PENDING,2025-08-02 11:01:10,Mobile,UPI@UserVPA2,Check with Bank,Transaction is PENDING. Check upstream status.
D013,C013,T013,EMI card was charged twice this month,CARD,Web,2100,2025-08-02 12:44:39,DUPLICATE_CHARGE,1.0,Classified by SVM Model based on text patterns.,C013,2100,SUCCESS,2025-08-02 12:44:10,Web,CARD@EMIProvider,Auto-refund,Found a duplicate successful transaction within short timeframe.
D014,C014,T014,My NEFT is showing processed but beneficiary says not received,NEFT,Web,9800,2025-08-02 13:30:21,FAILED_TRANSACTION,1.0,Classified by SVM Model based on text patterns.,C014,9800,PROCESSED,2025-08-02 13:29:58,Web,NEFT@BankZ,Manual review,Unusual status: PROCESSED
D015,C015,T015,Got debited after payment failed on gateway,CARD,Web,399,2025-08-02 14:02:07,FAILED_TRANSACTION,1.0,Classified by SVM Model based on text patterns.,C015,399,FAILED,2025-08-02 14:01:39,Web,CARD@GatewayG,Auto-refund,Transaction is marked FAILED in system but user reports debit. Refund.
D016,C016,T016,This transaction looks suspicious. I didn't authorize it,CARD,Mobile,5200,2025-08-03 09:31:45,FRAUD,1.0,Classified by SVM Model based on text patterns.,C016,5200,SUCCESS,2025-08-03 09:31:10,Mobile,CARD@WalletH,Mark as potential fraud,High severity claim. Immediate block and investigation required.
D017,C017,T017,Refund for canceled order not received,UPI,Mobile,875,2025-08-03 10:42:11,REFUND_PENDING,1.0,Classified by SVM Model based on text patterns.,C017,875,SUCCESS,2025-08-03 10:41:42,Mobile,UPI@StoreI,Manual review,User is waiting for refund on a SUCCESS transaction (possible return?)
D018,C018,T018,"Duplicate UPI transfer to same VPA, minutes apart",UPI,Mobile,1299,2025-08-03 11:15:00,DUPLICATE_CHARGE,1.0,Classified by SVM Model based on text patterns.,C018,1299,SUCCESS,2025-08-03 11:14:30,Mobile,UPI@StoreJ,Auto-refund,Found a duplicate successful transaction within short timeframe.
D019,C019,T019,NEFT failed but amount not reversed yet,NEFT,Web,25000,2025-08-03 11:55:27,FAILED_TRANSACTION,1.0,Classified by SVM Model based on text patterns.,C019,25000,FAILED,2025-08-03 11:55:00,Web,NEFT@BankX,Auto-refund,Transaction is marked FAILED in system but user reports debit. Refund.
D020,C020,T020,Card charged twice at petrol pump,CARD,POS,1800,2025-08-03 12:20:49,DUPLICATE_CHARGE,1.0,Classified by SVM Model based on text patterns.,C020,1800,SUCCESS,2025-08-03 12:20:20,POS,CARD@FuelPumpK,Auto-refund,Found a duplicate successful transaction within short timeframe.
