dispute_id,customer_id,txn_id,description,txn_type,channel,amount,created_at,predicted_category,suggested_action,confidence,explanation
D011,C011,T011,Got two UPI debit messages for one QR scan,UPI,QR,220,2025-08-02 10:25:18,DUPLICATE_CHARGE,Auto-refund,0.9,"The customer claims to have received two UPI debit messages for one QR scan, and the transaction history shows two successful transactions with the same amount, timestamp close to each other, and the same merchant. This suggests a high likelihood of a duplicate charge."
D012,C012,T012,"Payment stuck in pending, not sure if merchant got it",UPI,Mobile,430,2025-08-02 11:01:56,FAILED_TRANSACTION,Manual review,0.8,"The customer is disputing a transaction with a status of 'PENDING', indicating a potential issue with the payment processing. The description provided by the customer suggests that the payment is stuck and they are unsure if the merchant has received it. Since there is only one transaction in the history and its status is 'PENDING', it does not indicate a duplicate charge or fraud. A manual review is suggested to investigate the issue further and determine the appropriate course of action."
D013,C013,T013,EMI card was charged twice this month,CARD,Web,2100,2025-08-02 12:44:39,DUPLICATE_CHARGE,Auto-refund,0.9,"The customer claims that their EMI card was charged twice this month, and the transaction history shows two successful transactions with the same amount and merchant, occurring in close proximity to each other. This suggests a high likelihood of a duplicate charge, warranting an auto-refund."
D014,C014,T014,My NEFT is showing processed but beneficiary says not received,NEFT,Web,9800,2025-08-02 13:30:21,FAILED_TRANSACTION,Manual review,0.8,"The customer claims that the NEFT transaction is showing as processed, but the beneficiary has not received the amount. The transaction history shows only one transaction with a status of 'PROCESSED', which suggests that the issue may be with the bank's processing or the beneficiary's account. A manual review is required to investigate the issue further and determine the cause of the problem."
D015,C015,T015,Got debited after payment failed on gateway,CARD,Web,399,2025-08-02 14:02:07,FAILED_TRANSACTION,Ask for more info,0.8,"The customer claims to have been debited after a payment failed on the gateway, and the transaction history shows a single failed transaction. This suggests that the issue is related to a failed transaction rather than a duplicate charge or fraud. However, more information is needed to determine the exact cause of the issue and the best course of action."
D016,C016,T016,This transaction looks suspicious. I didn't authorize it,CARD,Mobile,5200,2025-08-03 09:31:45,FRAUD,Mark as potential fraud,0.8,"The customer explicitly stated that the transaction looks suspicious and they didn't authorize it, which aligns with a fraud claim. There is only one transaction in the history, so it's not a duplicate charge. The customer's claim and the single transaction suggest that this might be a case of fraud."
D017,C017,T017,Refund for canceled order not received,UPI,Mobile,875,2025-08-03 10:42:11,REFUND_PENDING,Manual review,0.8,"The customer is claiming a refund for a canceled order that was not received. The transaction history shows only one successful transaction, which suggests that the issue is with the refund process rather than a duplicate charge or fraud. A manual review is necessary to verify the order status and refund eligibility."
D018,C018,T018,"Duplicate UPI transfer to same VPA, minutes apart",UPI,Mobile,1299,2025-08-03 11:15:00,DUPLICATE_CHARGE,Auto-refund,0.9,"The customer has reported a duplicate UPI transfer to the same VPA, minutes apart. The transaction history confirms two successful transactions with the same amount, timestamped closely together, which supports the customer's claim of a duplicate charge."
D019,C019,T019,NEFT failed but amount not reversed yet,NEFT,Web,25000,2025-08-03 11:55:27,FAILED_TRANSACTION,Manual review,0.8,"The customer claims that the NEFT transaction failed but the amount has not been reversed yet. The transaction history shows a single failed transaction, which supports the customer's claim. A manual review is suggested to verify the status of the transaction and to ensure that the amount is reversed to the customer's account."
D020,C020,T020,Card charged twice at petrol pump,CARD,POS,1800,2025-08-03 12:20:49,DUPLICATE_CHARGE,Auto-refund,0.9,"The customer claims to have been charged twice at a petrol pump and the transaction history shows two successful transactions with the same amount, occurring in close proximity to each other, at the same merchant. This evidence strongly suggests a duplicate charge."
